summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehicle_body_type,vehicle_make,issuing_agency,street_code1,street_code2,street_code3,vehicle_expiration_date,violation_location,violation_precinct,issuer_precinct,issuer_code,issuer_command,issuer_squad,violation_time,violation_county,violation_in_front_of_or,house_number,street_name,date_first_observed,law_section,sub_division,days_parking_in_effect,vehicle_color,vehicle_year,feet_from_curb,violation_post_code,violation_description,intersecting_street,from_hours_in_effect,to_hours_in_effect,unregistered_vehicle,meter_number,violation_legal_code,time_first_observed
9058484970,KPX6651,NY,PAS,2023-07-17T00:00:00.000,71,4DSD,TOYOT,T,14690,14840,8630,20250617,115,115,115,354002,T401,G,0143P,Q,O,35-35,69th St,0,408,J6,YYYYYYY,GY,2009,0,23,71A-Insp Sticker Expired (NYS),,,,,,,
9002272637,KYF6667,NY,PAS,2023-07-15T00:00:00.000,71,SUBN,VOLKS,T,60535,0,0,20241127,94,94,94,361316,T301,X,0323P,K,I,S,Metrotech,0,408,J6,YYYYYYY,GY,2019,0,17,71A-Insp Sticker Expired (NYS),15ft W/of Kent Ave,,,,,,
9065683781,KYY3128,NY,PAS,2023-07-23T00:00:00.000,40,PICK,CHEVR,T,18530,10010,45590,20240930,19,19,19,373127,T103,K,0742A,NY,F,421,E 77th St,0,408,E2,YYYYYYY,GY,2022,0,1,40-Fire Hydrant,,,,,,,
1491974643,KMK9140,NY,PAS,2023-06-30T00:00:00.000,98,SUBN,CHEVR,P,23520,54420,74720,20230803,52,52,52,974064,0052,0000,0355A,BX,,2365,DAVIDSON AVE,0,408,F2,BBBBBBB,B,2021,0,,,,ALL,ALL,0,-,,
4852339752,MYGLOK26,NY,SRF,2023-07-16T00:00:00.000,36,SUBN,BMW,V,0,0,0,0,,0,0,0,,,0221P,ST,,,SB MANOR RD @ BRIELL,0,1180,B,,WH,2021,0,,PHTO SCHOOL ZN SPEED VIOLATION,E AVE,,,,,T,
4852333877,LAK7088,NY,PAS,2023-07-16T00:00:00.000,36,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,1254P,QN,,,WB N CONDUIT AVE @ 8,0,1180,B,,GY,2016,0,,PHTO SCHOOL ZN SPEED VIOLATION,8TH ST,,,,,T,
9064964178,LCP8944,NY,PAS,2023-07-19T00:00:00.000,74,4DSD,HYUND,T,58590,42850,51590,20250712,107,107,107,364851,T402,R,0621P,Q,O,67-32,Parsons Blvd,0,408,J2,YYYYYYY,BL,2012,0,,74-Missing Display Plate,,,,,,,
4848396797,KYV5923,NY,PAS,2023-06-24T00:00:00.000,36,4DSD,ME/BE,V,0,0,0,0,,0,0,0,,,0755P,QN,,,WB WOODWARD AVE @ HA,0,1180,B,,BK,2019,0,,PHTO SCHOOL ZN SPEED VIOLATION,RT ST,,,,,T,
4849319828,J95RZF,NJ,PAS,2023-06-30T00:00:00.000,36,SPOR,KIA,V,0,0,0,0,,0,0,0,,,0110P,QN,,,EB UNION TPKE @ 210T,0,1180,B,,,2023,0,,PHTO SCHOOL ZN SPEED VIOLATION,H ST,,,,,T,
4852872272,KJL7113,NY,PAS,2023-07-19T00:00:00.000,36,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,1036A,QN,,,WB N CONDUIT AVE @ 8,0,1180,B,,GR,2023,0,,PHTO SCHOOL ZN SPEED VIOLATION,8TH ST,,,,,T,
8954082245,JB3515,WA,PAS,2023-07-17T00:00:00.000,21,4DSD,TOYOT,T,35290,0,0,20238888,20,20,20,375365,T103,I,1118A,NY,I,N,W 76th St,0,408,D1,Y  Y,SILVE,0,0,52,21-No Parking (street clean),65ft E/of West End A,1100A,1230A,,,,
4848497309,HSD6450,NY,PAS,2023-06-26T00:00:00.000,36,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0256P,BK,,,WB CLARKSON AVE @ E,0,1180,B,,BK,2022,0,,PHTO SCHOOL ZN SPEED VIOLATION,42ND ST,,,,,T,
4853818730,KET9124,NY,PAS,2023-07-25T00:00:00.000,36,4DSD,CHEVR,V,0,0,0,0,,0,0,0,,,1049A,QN,,,WB CROSS ISLAND PKWY,0,1180,B,,GY,2020,0,,PHTO SCHOOL ZN SPEED VIOLATION,@ 165TH ST,,,,,T,
4853782679,JKD7941,NY,PAS,2023-07-23T00:00:00.000,36,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0236P,QN,,,WB JEWEL AVE @ 161ST,0,1180,B,,WH,2013,0,,PHTO SCHOOL ZN SPEED VIOLATION,ST,,,,,T,
2012909048,HDT2015,NY,PAS,2023-07-21T00:00:00.000,21,4DSD,VOLKS,S,42820,26970,29620,20240111,46,46,0,669522,BX05,,0235A,Bronx,F,1900,JEROME AVENUE,0,408,d1,Y  Y,BR,2013,0,,No Parking Street Cleaning,,1200A,0300A,,,,00000
9067964402,KNY6616,NY,PAS,2023-07-20T00:00:00.000,21,SUBN,TOYOT,T,62430,44930,51530,20230722,90,90,90,353177,T301,F,1026A,K,F,181,Montrose Ave,0,408,D1,Y  Y,WH,2021,0,15,21-No Parking (street clean),,0900A,1130A,,,,
4852590308,KZJ8183,PA,PAS,2023-07-18T00:00:00.000,36,SDN,MITSU,V,0,13495,0,0,,0,0,0,,,0128P,QN,,,WB QUEENS BLVD @ 66T,0,1180,B,,,2022,0,,PHTO SCHOOL ZN SPEED VIOLATION,H RD,,,,,T,
4852781655,LAR2684,NY,PAS,2023-07-17T00:00:00.000,36,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0107P,QN,,,WB N CONDUIT AVE @ 8,0,1180,B,,WH,2023,0,,PHTO SCHOOL ZN SPEED VIOLATION,8TH ST,,,,,T,
9066385110,KLL4093,NY,PAS,2023-07-17T00:00:00.000,16,2DSD,MINI,T,35280,0,0,20250617,70,70,70,371174,T302,C,1041A,K,I,E,Stratford Rd,0,408,K2,YYYYYY,BL,2007,0,9,16A-No Std (Com Veh) Non-COM,15ft N/of Church Ave,0700A,1200A,,,,
4852418100,KNU7588,NY,PAS,2023-07-17T00:00:00.000,36,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,0234P,QN,,,WB N CONDUIT AVE @ 8,0,1180,B,,BK,2021,0,,PHTO SCHOOL ZN SPEED VIOLATION,8TH ST,,,,,T,
5128642010,HRK9774,NY,PAS,2023-07-04T00:00:00.000,7,2DSD,PONTI,V,0,0,0,0,,0,0,0,,,0719A,ST,,,CLOVE RD (N/B) @ BAR,0,1111,D,,GY,2007,0,,FAILURE TO STOP AT RED LIGHT,D AVE,,,,,T,
4853845756,KZV8186,NY,PAS,2023-07-25T00:00:00.000,36,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0740P,BK,,,EB 65TH ST @ 16TH AV,0,1180,B,,WH,2018,0,,PHTO SCHOOL ZN SPEED VIOLATION,E,,,,,T,
9065617190,HZD7274,NY,PAS,2023-07-20T00:00:00.000,71,2DSD,SMART,T,16310,0,0,20240425,7,7,7,356518,T105,M,0612A,NY,I,N,Delancey St,0,408,J6,YYYYYYY,BK,2008,0,,71-Insp. Sticker Missing (NYS,30ft W/of Mangin St,,,,,,
